paper id,last_name,first_name,full_name,gd_gender,gg_gender,genderize_gender,ns_gender,genderize_probability,ns_probability
704.0285,Conrad,Edward H.,Edward H. Conrad,male,male,male,male,0.99,0.9968983517502318
704.0285,Li,Xuebin,Xuebin Li,unknown,unknown,male,male,0.9,0.8484922688286166
704.0285,Hass,Joanna,Joanna Hass,female,female,female,female,0.98,0.9832446022826083
704.0285,Potemski,Marek,Marek Potemski,male,male,male,male,0.99,0.9903967528058196
704.0285,Martinez,Gerard,Gerard Martinez,male,male,male,male,0.98,0.9956470477292269
704.029,Hurley,Jarrod R.,Jarrod R. Hurley,male,male,male,male,1.0,0.9965969113313692
704.029,Shara,Michael M.,Michael M. Shara,male,male,male,male,0.99,0.9710345181083722
704.0292,Salam,Gavin P.,Gavin P. Salam,male,male,male,male,0.99,0.9955574336699984
704.0292,Soyez,Gregory,Gregory Soyez,male,male,male,male,0.99,0.9880221517636824
704.0295,Basu,Saugata,Saugata Basu,unknown,unknown,male,male,1.0,0.5028544045537681
704.0297,Rosswog,Stephan,Stephan Rosswog,male,male,male,male,0.99,0.9863331716147904
704.0298,Grushka,Ya.,Ya. Grushka,unknown,unknown,unknown,female,0.0,0.5430908277621194
704.0299,Alexander,Stephon,Stephon Alexander,male,male,male,male,0.92,0.9834318990614652
704.03,Kim,Philip,Philip Kim,male,male,male,male,0.99,0.9957079364603552
704.0302,Yang,Lijian,Lijian Yang,unknown,unknown,male,male,0.92,0.670479721900423
